ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_roll(rad),tag_pitch(rad),tag_yaw(rad),tag_tx(m),tag_ty(m),tag_tz(m)
1763677654.479715,-0.014482613,0.003107233,-0.006351280,-0.000115993,0.000211167,0.000018293,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.090443190,0.053301472,0.024331269,0.070407037,-0.036530009,0.578366224
1763677654.481701,0.000219387,0.007443233,0.015156720,0.000288007,-0.000400833,0.000461293,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.083506257,0.052816029,0.023987060,0.070408536,-0.036527047,0.578334952
1763677654.483702,0.061652387,-0.018614767,-0.010831280,-0.000698993,-0.002685833,-0.000619707,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.093632011,0.055016285,0.024366427,0.070424149,-0.036542846,0.578467802
1763677654.485705,0.000903387,-0.000979767,-0.003853280,0.000439007,-0.000194833,-0.000180707,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.091699626,0.061428076,0.024899271,0.070419054,-0.036537991,0.578504924
1763677654.487710,0.000546387,0.007373233,0.000080720,0.000291007,-0.000364833,0.000854293,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.086457963,0.050417302,0.023457955,0.070404026,-0.036528986,0.578308163
1763677654.489704,0.008024387,0.015790233,0.000573720,-0.000113993,0.000078167,0.000238293,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.086457963,0.050417302,0.023457955,0.070404026,-0.036528986,0.578308163
1763677654.491710,0.054287387,-0.014548767,-0.012897280,-0.000436993,-0.002491833,-0.001296707,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.092612545,0.047059317,0.024055269,0.070384270,-0.036509357,0.578123190
1763677654.493706,0.015465387,0.015871233,0.015598720,0.000293007,-0.000175833,-0.000276707,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.089079935,0.055824417,0.024288597,0.070419172,-0.036540475,0.578452724
1763677654.495709,-0.030052613,-0.009252767,0.011804720,-0.000387993,0.000211167,-0.000738707,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.085852474,0.054230368,0.024056761,0.070408810,-0.036525986,0.578394791
1763677654.497732,-0.006776613,-0.005751767,-0.011615280,0.000032007,0.000365167,0.000765293,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.086529538,0.051561798,0.024239615,0.070389589,-0.036525087,0.578263382
1763677654.499713,0.046914387,-0.002656767,-0.012011280,0.000888007,-0.002913833,-0.000150707,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.078447430,0.048492491,0.023916257,0.070400103,-0.036513553,0.578269489
1763677654.501723,0.023086387,0.016308233,0.005641720,-0.000236993,-0.000296833,-0.000028707,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.089138028,0.051017281,0.023799814,0.070409502,-0.036532811,0.578362988
