ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_roll(rad),tag_pitch(rad),tag_yaw(rad),tag_tx(m),tag_ty(m),tag_tz(m)
1763679240.748906,-0.060996987,-0.008912980,-0.013954233,-0.000023707,0.001168173,-0.000929367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.072101782,0.061228209,0.023790970,0.070320761,-0.036452110,0.578123927
1763679240.750905,0.014170013,0.029295020,0.000956767,0.000122293,0.000261173,0.000750633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.092152163,0.059355895,0.024541709,0.070308074,-0.036456399,0.577995576
1763679240.752900,-0.031339987,-0.016185980,0.015212767,-0.000000707,-0.000226827,-0.000614367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.094957061,0.063804056,0.025405236,0.070302309,-0.036460201,0.578001278
1763679240.754932,-0.016736987,-0.013331980,0.026878767,-0.000135707,0.000789173,0.000607633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.092544682,0.064213039,0.024403426,0.070317364,-0.036467765,0.578158052
1763679240.756905,-0.008438987,0.019943020,-0.003680233,0.000248293,0.001078173,0.000870633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.103963165,0.064751287,0.025075787,0.070308501,-0.036472195,0.578068399
1763679240.758909,-0.039239987,0.000586020,0.019557767,-0.000160707,-0.000172827,-0.000314367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.097539938,0.066567962,0.024911354,0.070316423,-0.036463097,0.578107397
1763679240.760925,0.006545013,0.008411020,0.009090767,0.000137293,0.000139173,0.000362633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.106393839,0.060511287,0.025427105,0.070294666,-0.036464325,0.577886953
1763679240.762920,-0.024137987,0.022746020,0.008483767,0.000090293,0.002317173,0.001460633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.105845422,0.061186968,0.025088521,0.070294535,-0.036463483,0.577899066
1763679240.764915,-0.023966987,0.000552020,0.020121767,-0.000146707,0.000053173,-0.000949367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.095910913,0.062664126,0.025082453,0.070319050,-0.036467479,0.578117683
1763679240.766904,-0.008431987,-0.008776980,-0.000621233,0.000008293,0.000456173,0.000829633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.081734083,0.057373054,0.024014527,0.070306767,-0.036452433,0.577998185
1763679240.768948,0.029058013,0.029177020,0.006372767,-0.000405707,0.000763173,0.000484633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.113068783,0.068204324,0.025588867,0.070302305,-0.036472909,0.578007919
1763679240.770982,-0.024087987,0.009062020,0.029298767,0.000380293,-0.000489827,-0.000670367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.068741145,0.058660741,0.023802160,0.070307790,-0.036446650,0.578016970
1763679240.772989,0.029520013,0.018845020,0.008271767,0.000552293,-0.002053827,0.000242633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.068741145,0.058660741,0.023802160,0.070307790,-0.036446650,0.578016970
1763679240.774933,0.006367013,0.015958020,0.013410767,0.000394293,0.000629173,0.001032633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.099931815,0.060051348,0.024842191,0.070309329,-0.036465429,0.578001476
1763679240.776948,-0.008546987,-0.002115980,0.013382767,-0.000528707,-0.000903827,-0.001934367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.095639689,0.059375144,0.024376577,0.070309919,-0.036462937,0.578029370
1763679240.778960,-0.016007987,-0.000790980,-0.006342233,0.000128293,0.000606173,0.001629633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.099430357,0.059141777,0.024690221,0.070303576,-0.036460006,0.577975648
1763679240.780942,0.006083013,0.008186020,0.018479767,-0.000137707,0.000252173,0.001114633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.093038225,0.059280359,0.024363347,0.070306345,-0.036458939,0.578022516
1763679240.782944,-0.008933987,0.013534020,0.021543767,-0.000015707,-0.000583827,-0.000218367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.088612577,0.060609309,0.024444198,0.070306262,-0.036446317,0.577984455
1763679240.784948,-0.024658987,0.029156020,0.031081767,-0.000319707,0.000625173,0.000216633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.081862040,0.061814286,0.024348507,0.070321030,-0.036462198,0.578115494
1763679240.786933,0.029257013,0.012636020,0.011156767,0.000283293,-0.000053827,0.000690633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.081862040,0.061814286,0.024348507,0.070321030,-0.036462198,0.578115494
1763679240.788967,-0.008521987,-0.008372980,0.009695767,0.000143293,0.000144173,0.000057633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.099010695,0.058060570,0.024811019,0.070302255,-0.036463947,0.578006983
1763679240.790964,-0.016256987,0.020500020,0.010652767,0.000642293,0.000160173,0.000986633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.079557642,0.058682078,0.024259074,0.070300128,-0.036448747,0.578019852
1763679240.792962,0.021890013,0.008162020,0.004099767,0.000284293,0.000297173,0.000497633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.088019317,0.057481752,0.024405316,0.070324078,-0.036454492,0.578054786
1763679240.794968,-0.023996987,-0.013229980,0.017891767,-0.000270707,0.001116173,-0.000403367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.104129241,0.062478170,0.024771473,0.070310338,-0.036469378,0.578027082
1763679240.796955,-0.001489987,0.016352020,0.023778767,0.000117293,0.000536173,0.000381633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.093342812,0.060520217,0.024594680,0.070311141,-0.036460196,0.578031958
1763679240.798951,-0.016295987,0.020336020,0.006686767,-0.000027707,0.000984173,0.000219633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.082834697,0.061322094,0.024378185,0.070324413,-0.036462505,0.578190950
1763679240.800954,-0.016288987,0.005145020,0.016864767,0.000123293,-0.000640827,-0.000364367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.063470122,0.062305131,0.023629386,0.070322934,-0.036445071,0.578146698
1763679240.802962,-0.016969987,0.020486020,0.030578767,0.000097293,0.000400173,0.000961633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.079472754,0.058902209,0.023696458,0.070313027,-0.036444913,0.577999758
1763679240.804953,-0.001313987,0.000265020,0.014467767,-0.000400707,0.000202173,0.000194633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.101079885,0.061172374,0.025051278,0.070311218,-0.036464988,0.578007430
1763679240.806995,-0.053991987,-0.012528980,0.012709767,0.000247293,0.000180173,-0.000650367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.117044587,0.067686190,0.025878080,0.070289317,-0.036462923,0.577915648
1763679240.808980,0.014105013,0.008341020,0.008910767,0.000142293,0.000137173,0.000616633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.090858588,0.059971032,0.024472399,0.070293927,-0.036455678,0.577949315
1763679240.810976,-0.000614987,0.004018020,0.002164767,0.000543293,0.000274173,-0.000206367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.089361122,0.058531840,0.024293096,0.070301101,-0.036454652,0.577967469
1763679240.812974,0.021699013,0.001153020,0.015522767,-0.000377707,-0.000220827,-0.001341367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.090213265,0.057244703,0.024765656,0.070311634,-0.036453405,0.578001253
1763679240.814993,0.006096013,0.008628020,0.018352767,-0.000137707,-0.000186827,0.001108633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.091739906,0.060323240,0.024454159,0.070304447,-0.036458935,0.578008233
1763679240.816974,-0.001388987,0.004482020,0.016500767,-0.000271707,0.000009173,0.000524633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.095353167,0.060737077,0.024813447,0.070311441,-0.036467806,0.578094100
1763679240.818966,-0.008841987,0.013309020,0.022245767,-0.000013707,-0.000137827,-0.000977367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.100489222,0.067189079,0.025261424,0.070316043,-0.036470133,0.578111521
1763679240.820962,0.059694013,-0.004727980,0.001729767,-0.000212707,0.000704173,0.001150633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.100489222,0.067189079,0.025261424,0.070316043,-0.036470133,0.578111521
1763679240.822970,0.021729013,0.021498020,0.011438767,0.000271293,-0.000267827,-0.000050367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.101981661,0.064540125,0.024814615,0.070320553,-0.036467166,0.578114495
1763679240.824987,0.021806013,-0.014175980,0.025256767,0.000177293,-0.002069827,-0.001535367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.095326975,0.059938681,0.024758908,0.070295263,-0.036460858,0.577955123
1763679240.827040,-0.008633987,0.024310020,0.013557767,0.000779293,0.000633173,0.000432633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.094029447,0.062682908,0.024692113,0.070307258,-0.036466473,0.578049838
1763679240.829089,-0.016311987,0.017333020,0.009603767,-0.000290707,0.000145173,-0.000511367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.085577517,0.057804999,0.024126946,0.070295039,-0.036444207,0.577911160
1763679240.831017,-0.053923987,-0.009104980,0.001160767,-0.000426707,0.001569173,-0.001073367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.098904911,0.060258866,0.024573414,0.070306074,-0.036460375,0.577979679
