ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_roll(rad),tag_pitch(rad),tag_yaw(rad),tag_tx(m),tag_ty(m),tag_tz(m),fw_contact,ft_trigger
1765831618.452259,-0.00337,-0.01409,-0.01053,0.00042,0.00009,-0.00042,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,1,0,-3.06915,0.01047,0.02469,0.10461,0.06080,0.76118,0,0
1765831618.454270,-0.00340,-0.00002,-0.02603,-0.00007,0.00072,-0.00004,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.456244,-0.00374,0.00103,-0.02589,0.00060,-0.00042,-0.00004,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.458253,-0.00745,-0.01645,0.04284,0.00017,0.00001,-0.00011,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.460285,-0.00339,0.00001,-0.00324,-0.00007,0.00071,-0.00002,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.462312,0.00792,-0.00477,0.02014,-0.00275,-0.00093,0.00054,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.464293,-0.00779,-0.01674,-0.00279,0.00038,0.00040,-0.00014,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.466278,0.00837,0.00274,0.01190,0.00084,0.00032,0.00011,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.468255,0.00496,0.01024,0.01921,0.00027,0.00022,-0.00028,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.470271,0.01518,-0.00491,0.02779,-0.00187,-0.00076,0.00094,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.472286,0.00346,-0.00681,0.03538,-0.00233,-0.00113,0.00042,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.474295,0.00029,-0.00659,-0.01075,0.00094,0.00004,-0.00043,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.476259,0.00496,0.00517,0.00437,-0.00000,0.00011,0.00025,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.478303,-0.01046,-0.00430,0.08810,-0.00099,0.00003,-0.00020,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
