ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_roll(rad),tag_pitch(rad),tag_yaw(rad),tag_tx(m),tag_ty(m),tag_tz(m)
1763676376.428421,0.022847273,-0.054610973,-0.008176780,-0.001381173,0.000491507,0.001082667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.108600938,0.047446975,0.024021710,0.069303675,-0.035911864,0.576298949
1763676376.430375,0.023008273,-0.072128973,-0.023011780,-0.001767173,0.001183507,0.002060667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.092352356,0.048781501,0.023580619,0.069336960,-0.035914085,0.576560604
1763676376.432473,0.000712273,-0.054935973,-0.028359780,-0.000855173,0.000465507,0.001493667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.095245987,0.050132828,0.023708893,0.069331342,-0.035917354,0.576521600
1763676376.434455,-0.014742727,-0.084700973,-0.025388780,-0.001514173,0.000934507,0.002094667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.089785923,0.049953621,0.023533832,0.069330319,-0.035908899,0.576489822
1763676376.436430,-0.015148727,-0.070434973,-0.004024780,-0.001127173,-0.000989493,0.001911667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.088588940,0.052634072,0.023515046,0.069337538,-0.035904893,0.576599303
1763676376.438395,0.007598273,-0.071754973,-0.003608780,-0.001110173,0.000326507,0.001925667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.088588940,0.052634072,0.023515046,0.069337538,-0.035904893,0.576599303
1763676376.440365,0.015012273,-0.053687973,0.000917220,-0.001255173,-0.000709493,0.001574667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.090136009,0.051741945,0.023553549,0.069328775,-0.035911419,0.576550835
1763676376.442379,0.038834273,-0.071574973,-0.019937780,-0.001201173,-0.003148493,-0.000477333,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.096674378,0.051061376,0.023795924,0.069335527,-0.035913306,0.576542385
1763676376.444388,0.015846273,-0.071531973,-0.027809780,-0.001230173,0.000470507,0.001432667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.096777091,0.047785279,0.023710317,0.069319890,-0.035912090,0.576415071
1763676376.446367,0.038187273,-0.066947973,-0.021020780,-0.001624173,0.000115507,0.002124667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.102011400,0.048981063,0.023933915,0.069317029,-0.035911525,0.576410197
1763676376.448906,-0.007684727,-0.062459973,-0.003403780,-0.001533173,-0.000107493,0.001300667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.102011400,0.048981063,0.023933915,0.069317029,-0.035911525,0.576410197
1763676376.450418,-0.007886727,-0.054633973,-0.003177780,-0.001946173,0.000769507,0.001199667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.083310096,0.050011811,0.023440324,0.069331714,-0.035906529,0.576538755
1763676376.452510,0.022721273,-0.067536973,-0.006474780,-0.001238173,0.000292507,0.002381667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.091837430,0.052462982,0.023671702,0.069338768,-0.035914883,0.576600582
1763676376.454461,0.023368273,-0.072975973,-0.021044780,-0.001219173,-0.002288493,0.001317667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.093787193,0.049597834,0.023565726,0.069335820,-0.035915848,0.576550455
1763676376.456440,0.015163273,-0.058751973,-0.011304780,-0.001519173,0.000234507,0.002021667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.091283387,0.048791035,0.023598286,0.069339345,-0.035914638,0.576615040
1763676376.458539,-0.000417727,-0.050297973,0.003435220,-0.001543173,0.000195507,0.001781667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.085012082,0.049046004,0.023414467,0.069334723,-0.035908893,0.576503343
1763676376.460462,-0.015455727,-0.061838973,0.001279220,-0.001675173,-0.000706493,0.001414667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.096639460,0.048193509,0.023477433,0.069334546,-0.035914381,0.576543240
1763676376.462492,0.031163273,-0.088977973,-0.020311780,-0.001193173,-0.002936493,0.000621667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.085403858,0.049626874,0.023438939,0.069335457,-0.035908513,0.576556998
1763676376.464434,0.015488273,-0.057201973,-0.016094780,-0.001379173,-0.001134493,0.001248667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.096821254,0.049969902,0.023724254,0.069334975,-0.035913714,0.576577287
1763676376.466470,0.000085273,-0.062272973,-0.013454780,-0.001659173,-0.000229493,0.001557667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.087737307,0.050634059,0.023706100,0.069330361,-0.035909462,0.576510610
1763676376.468391,-0.030040727,-0.080206973,-0.022551780,-0.001798173,0.000968507,0.001527667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.087737307,0.050634059,0.023706100,0.069330361,-0.035909462,0.576510610
1763676376.470412,0.015634273,-0.071156973,-0.013305780,-0.000830173,-0.000226493,0.001422667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1,0,-3.084035501,0.047848204,0.023457397,0.069326115,-0.035910961,0.576532844
